SITE,DATADESC,AGE,logage,CLASS,CLASS_DESC,SEASONCODE,SEASON,TIME,TRIAL,TRIALDESC,SITE.DEPTH,DEPTHCODE,SITE.SEASON.DEPTH,DEPTH,DEPTHnum,NH4mgL,mgNNH4kgsoil,kgNNH4ha,NO3mgL,mgNNO3kgsoil,kgNNO3ha,EmgNNH4NO3kgsoil,EkgNNH4NO3ha,NO3toNH4mol,SOILTEMP,AIRTEMP,MOIST,BulkDen,PCT_Cx,d13Cx,Cumolx,PCT_Nx,d15Nx,Numolx,CtoNumolx,gCkgsoil,C_Mghax,gNkgsoil,N_Mghax,N_kgha,mgNNH4kgOrgC,mgNNO3kgOrgC,EmgNNH4NO3kgOrgC,estmgCkg
S13,NMIN_DRYALL_t2mt0_FM_DSUM,3,1.098612289,C1,3-4 yr,DRYALL,DRY15,t2mt0,FM,dry,S13_DSUM,DSUM,S13_DRY15_DSUM,D0-15_cm,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.32342598,NA,1.397389349,1397.389349,NA,NA,NA,NA
S13,NMIN_WETALL_t2mt0_FC_D1,3,1.098612289,C1,3-4 yr,WETALL,WET15,t2mt0,FC,wet,S13_D1,D1,S13_WET15_D1,D0-5_cm,5,0.4115,1.536872,1.16938756,-0.00325,-0.003555,-0.002703081,1.5333195,1.166684479,-0.003194364,27,25,0.747384155,1.521775904,0.835164321,-21.59411279,57.48018437,0.075423617,5.968471697,4.449454682,12.91847844,8.35164321,6.354664698,0.75423617,0.573889215,573.8892147,184.0203133,-0.425664736,183.5946486,2371.763509
S13,NMIN_WETALL_t2mt0_FC_D2,3,1.098612289,C1,3-4 yr,WETALL,WET15,t2mt0,FC,wet,S13_D2,D2,S13_WET15_D2,D5-15_cm,10,0.2125,0.798401,1.192623445,-0.003575,-0.0039075,-0.005837316,0.79449325,1.186786129,-0.00520357,27,25,1.206208832,1.493764634,0.667358234,-21.12468991,46.9597744,0.055129176,6.629223554,3.325076901,14.12291378,6.67358234,9.968761282,0.55129176,0.823500134,823.5001341,119.6360454,-0.585517613,119.0505278,1681.34034
S13,NMIN_WETALL_t2mt0_FC_DSUM,3,1.098612289,C1,3-4 yr,WETALL,WET15,t2mt0,FC,wet,S13_DSUM,DSUM,S13_WET15_DSUM,D0-15_cm,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.32342598,NA,1.397389349,1397.389349,NA,NA,NA,NA
S13,NMIN_WETALL_t2mt0_FM_D1,3,1.098612289,C1,3-4 yr,WETALL,WET15,t2mt0,FM,dry,S13_D1,D1,S13_WET15_D1,D0-5_cm,5,0.1275,0.469832,0.357489914,-0.00325,-0.003555,-0.002703081,0.4662795,0.354786833,-0.003194364,27,25,0.747384155,1.521775904,0.835164321,-21.59411279,57.48018437,0.075423617,5.968471697,4.449454682,12.91847844,8.35164321,6.354664698,0.75423617,0.573889215,573.8892147,56.25623463,-0.425664736,55.8305699,721.2460135
S13,NMIN_WETALL_t2mt0_FM_D2,3,1.098612289,C1,3-4 yr,WETALL,WET15,t2mt0,FM,dry,S13_D2,D2,S13_WET15_D2,D5-15_cm,10,0.266,0.99941025,1.492883936,-0.003575,-0.0039075,-0.005837316,0.9955025,1.48704662,-0.00520357,27,25,1.206208832,1.493764634,0.667358234,-21.12468991,46.9597744,0.055129176,6.629223554,3.325076901,14.12291378,6.67358234,9.968761282,0.55129176,0.823500134,823.5001341,149.7561878,-0.585517613,149.1706702,2106.724513
S13,NMIN_WETALL_t2mt0_FM_DSUM,3,1.098612289,C1,3-4 yr,WETALL,WET15,t2mt0,FM,dry,S13_DSUM,DSUM,S13_WET15_DSUM,D0-15_cm,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.32342598,NA,1.397389349,1397.389349,NA,NA,NA,NA
S02,NMIN_DRYALL_t0_X_D1,10,2.302585093,C2,10-24 yr,DRYALL,DRY15,t0,X,initial,S02_D1,D1,S02_DRY15_D1,D0-5_cm,5,0.3056,1.148195,0.766817497,0.01155,0.0126,0.008431666,1.16082,0.775249163,0.010947123,28,33,0.140124111,1.335692305,0.402898942,-23.99693518,27.89223322,0.028109468,4.10354291,1.667432354,16.72665607,4.02898942,2.690745083,0.28109468,0.187728001,187.7280005,284.9833747,3.127335096,288.1107098,4819.128752
S02,NMIN_DRYALL_t0_X_D2,10,2.302585093,C2,10-24 yr,DRYALL,DRY15,t0,X,initial,S02_D2,D2,S02_DRY15_D2,D5-15_cm,10,0.14135,0.53107775,0.846525352,0.01185,0.01295,0.020646919,0.54403075,0.867172271,0.02456262,28,33,0.280729898,1.593976524,0.297651758,-23.67180278,20.50076481,0.020374072,3.274995863,1.202797881,17.04423091,2.97651758,4.744499146,0.20374072,0.324757925,324.7579247,178.4225141,4.350721826,182.773236,3115.229238
S02,NMIN_DRYALL_t0_X_DSUM,10,2.302585093,C2,10-24 yr,DRYALL,DRY15,t0,X,initial,S02_DSUM,DSUM,S02_DRY15_DSUM,D0-15_cm,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.435244229,NA,0.512485926,512.4859252,NA,NA,NA,NA
S02,NMIN_WETALL_t0_X_D1,10,2.302585093,C2,10-24 yr,WETALL,WET15,t0,X,initial,S02_D1,D1,S02_WET15_D1,D0-5_cm,5,0.1185,0.448275,0.299378688,0.01855,0.0204,0.013641097,0.4687,0.313019784,0.046000482,24.5,32,1.203610832,1.335692305,0.402898942,-23.99693518,27.89223322,0.028109468,4.10354291,1.667432354,16.72665607,4.02898942,2.690745083,0.28109468,0.187728001,187.7280005,111.2623921,5.063304442,116.3256965,1945.739918
S02,NMIN_WETALL_t0_X_D2,10,2.302585093,C2,10-24 yr,WETALL,WET15,t0,X,initial,S02_D2,D2,S02_WET15_D2,D5-15_cm,10,0.0915,0.3437675,0.547980684,0.0004,0.000437,0.000696943,0.344205,0.548677627,0.000676588,23,32,1.283701679,1.593976524,0.297651758,-23.67180278,20.50076481,0.020374072,3.274995863,1.202797881,17.04423091,2.97651758,4.744499146,0.20374072,0.324757925,324.7579247,115.4931865,0.146815864,115.6400024,1970.994903
S02,NMIN_WETALL_t0_X_DSUM,10,2.302585093,C2,10-24 yr,WETALL,WET15,t0,X,initial,S02_DSUM,DSUM,S02_WET15_DSUM,D0-15_cm,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.435244229,NA,0.512485926,512.4859252,NA,NA,NA,NA
S02,NMIN_DRYALL_t2mt0_FC_D1,10,2.302585093,C2,10-24 yr,DRYALL,DRY15,t2mt0,FC,wet,S02_D1,D1,S02_DRY15_D1,D0-5_cm,5,0.2864,1.05724625,0.706077943,-0.007425,-0.0081325,-0.005447219,1.04909,0.700630723,-0.008903643,28,33,0.140124111,1.335692305,0.402898942,-23.99693518,27.89223322,0.028109468,4.10354291,1.667432354,16.72665607,4.02898942,2.690745083,0.28109468,0.187728001,187.7280005,262.409786,-2.018496244,260.3912897,4355.475547
S02,NMIN_DRYALL_t2mt0_FC_D2,10,2.302585093,C2,10-24 yr,DRYALL,DRY15,t2mt0,FC,wet,S02_D2,D2,S02_DRY15_D2,D5-15_cm,10,-0.01935,-0.07606375,-0.121244009,0.0058,0.00617,0.009866708,-0.06987375,-0.111377301,0.013647926,28,33,0.280729898,1.593976524,0.297651758,-23.67180278,20.50076481,0.020374072,3.274995863,1.202797881,17.04423091,2.97651758,4.744499146,0.20374072,0.324757925,324.7579247,-25.55461137,2.072892175,-23.4817192,-400.2278442
S02,NMIN_DRYALL_t2mt0_FC_DSUM,10,2.302585093,C2,10-24 yr,DRYALL,DRY15,t2mt0,FC,wet,S02_DSUM,DSUM,S02_DRY15_DSUM,D0-15_cm,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.435244229,NA,0.512485926,512.4859252,NA,NA,NA,NA
S02,NMIN_DRYALL_t2mt0_FM_D1,10,2.302585093,C2,10-24 yr,DRYALL,DRY15,t2mt0,FM,dry,S02_D1,D1,S02_DRY15_D1,D0-5_cm,5,0.0689,0.25441225,0.169908309,0.004125,0.004475,0.002977969,0.258871625,0.172886278,0.001422604,28,33,0.140124111,1.335692305,0.402898942,-23.99693518,27.89223322,0.028109468,4.10354291,1.667432354,16.72665607,4.02898942,2.690745083,0.28109468,0.187728001,187.7280005,63.14542527,1.110700362,64.25612563,1074.790114
S02,NMIN_DRYALL_t2mt0_FM_D2,10,2.302585093,C2,10-24 yr,DRYALL,DRY15,t2mt0,FM,dry,S02_D2,D2,S02_DRY15_D2,D5-15_cm,10,0.10065,0.37088625,0.59118432,-0.00075,-0.0009,-0.001461488,0.36996975,0.589722832,-0.010782074,28,33,0.280729898,1.593976524,0.297651758,-23.67180278,20.50076481,0.020374072,3.274995863,1.202797881,17.04423091,2.97651758,4.744499146,0.20374072,0.324757925,324.7579247,124.6040852,-0.302366768,124.3017184,2118.627191
S02,NMIN_DRYALL_t2mt0_FM_DSUM,10,2.302585093,C2,10-24 yr,DRYALL,DRY15,t2mt0,FM,dry,S02_DSUM,DSUM,S02_DRY15_DSUM,D0-15_cm,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.435244229,NA,0.512485926,512.4859252,NA,NA,NA,NA
S02,NMIN_WETALL_t2mt0_FC_D1,10,2.302585093,C2,10-24 yr,WETALL,WET15,t2mt0,FC,wet,S02_D1,D1,S02_WET15_D1,D0-5_cm,5,0.3705,1.388987,0.927629675,-0.0184,-0.020236,-0.013531595,1.368726,0.914098081,-0.045902682,24.5,32,1.203610832,1.335692305,0.402898942,-23.99693518,27.89223322,0.028109468,4.10354291,1.667432354,16.72665607,4.02898942,2.690745083,0.28109468,0.187728001,187.7280005,344.7482376,-5.022599445,339.7256381,5682.473907
S02,NMIN_WETALL_t2mt0_FC_D2,10,2.302585093,C2,10-24 yr,WETALL,WET15,t2mt0,FC,wet,S02_D2,D2,S02_WET15_D2,D5-15_cm,10,0.229,0.8604095,1.371448926,0.0083,0.009063,0.014461555,0.86948175,1.385910481,0.005667061,23,32,1.283701679,1.593976524,0.297651758,-23.67180278,20.50076481,0.020374072,3.274995863,1.202797881,17.04423091,2.97651758,4.744499146,0.20374072,0.324757925,324.7579247,289.0658217,3.044833352,292.110655,4978.801456
S02,NMIN_WETALL_t2mt0_FC_DSUM,10,2.302585093,C2,10-24 yr,WETALL,WET15,t2mt0,FC,wet,S02_DSUM,DSUM,S02_WET15_DSUM,D0-15_cm,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.435244229,NA,0.512485926,512.4859252,NA,NA,NA,NA
S02,NMIN_WETALL_t2mt0_FM_D1,10,2.302585093,C2,10-24 yr,WETALL,WET15,t2mt0,FM,dry,S02_D1,D1,S02_WET15_D1,D0-5_cm,5,0.402,1.5073385,1.006670091,0.020475,0.02225,0.014847715,1.529571,1.021517806,-0.024199122,24.5,32,1.203610832,1.335692305,0.402898942,-23.99693518,27.89223322,0.028109468,4.10354291,1.667432354,16.72665607,4.02898942,2.690745083,0.28109468,0.187728001,187.7280005,374.1232217,5.522476658,379.6456983,6350.203024
S02,NMIN_WETALL_t2mt0_FM_D2,10,2.302585093,C2,10-24 yr,WETALL,WET15,t2mt0,FM,dry,S02_D2,D2,S02_WET15_D2,D5-15_cm,10,0.54075,2.03171075,3.238476012,-0.0004,-0.000437,-0.000696943,2.03127325,3.237779069,-0.000676588,23,32,1.283701679,1.593976524,0.297651758,-23.67180278,20.50076481,0.020374072,3.274995863,1.202797881,17.04423091,2.97651758,4.744499146,0.20374072,0.324757925,324.7579247,682.5797918,-0.146815864,682.4329759,11631.54522
S02,NMIN_WETALL_t2mt0_FM_DSUM,10,2.302585093,C2,10-24 yr,WETALL,WET15,t2mt0,FM,dry,S02_DSUM,DSUM,S02_WET15_DSUM,D0-15_cm,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.435244229,NA,0.512485926,512.4859252,NA,NA,NA,NA
S12,NMIN_DRYALL_t0_X_D1,24,3.17805383,C2,10-24 yr,DRYALL,DRY15,t0,X,initial,S12_D1,D1,S12_DRY15_D1,D0-5_cm,5,0.56165,2.11022125,1.710427819,0.048075,0.052525,0.042594256,2.1627715,1.753022075,0.025061011,27,29,0.210503212,1.621088588,0.439798751,-23.57976838,35.80694832,0.034794675,2.925152723,2.42817122,14.74646764,4.39798751,3.564763681,0.34794675,0.282026253,282.0262528,479.8151985,11.94296252,491.758161,7251.695808
S12,NMIN_DRYALL_t0_X_D2,24,3.17805383,C2,10-24 yr,DRYALL,DRY15,t0,X,initial,S12_D2,D2,S12_DRY15_D2,D5-15_cm,10,0.3029,1.136218,1.904290482,0.05325,0.0581,0.097397159,1.194331,2.00168764,0.051396046,27.5,29,0.461940149,1.675990678,0.313443899,-21.8850477,21.88622022,0.024423316,4.442565283,1.461735487,14.97276382,3.13443899,5.253290528,0.24423316,0.409332499,409.3324994,362.4948527,18.5360124,381.0308651,5705.085151
S12,NMIN_DRYALL_t0_X_DSUM,24,3.17805383,C2,10-24 yr,DRYALL,DRY15,t0,X,initial,S12_DSUM,DSUM,S12_DRY15_DSUM,D0-15_cm,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.818054209,NA,0.691358752,691.3587522,NA,NA,NA,NA
S12,NMIN_WETALL_t0_X_D1,24,3.17805383,C2,10-24 yr,WETALL,WET15,t0,X,initial,S12_D1,D1,S12_WET15_D1,D0-5_cm,5,0.3285,1.234234,1.000401565,0,0,0,1.234234,1.000401565,0,27,31,0.450154052,1.621088588,0.439798751,-23.57976838,35.80694832,0.034794675,2.925152723,2.42817122,14.74646764,4.39798751,3.564763681,0.34794675,0.282026253,282.0262528,280.6360858,0,280.6360858,4138.390957
S12,NMIN_WETALL_t0_X_D2,24,3.17805383,C2,10-24 yr,WETALL,WET15,t0,X,initial,S12_D2,D2,S12_WET15_D2,D5-15_cm,10,0.10325,0.387929,0.650165461,0,0,0,0.387929,0.650165461,NA,27,31,1.005025126,1.675990678,0.313443899,-21.8850477,21.88622022,0.024423316,4.442565283,1.461735487,14.97276382,3.13443899,5.253290528,0.24423316,0.409332499,409.3324994,123.7634554,0,123.7634554,1853.080987
S12,NMIN_WETALL_t0_X_DSUM,24,3.17805383,C2,10-24 yr,WETALL,WET15,t0,X,initial,S12_DSUM,DSUM,S12_WET15_DSUM,D0-15_cm,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.818054209,NA,0.691358752,691.3587522,NA,NA,NA,NA
S12,NMIN_DRYALL_t2mt0_FC_D1,24,3.17805383,C2,10-24 yr,DRYALL,DRY15,t2mt0,FC,wet,S12_D1,D1,S12_DRY15_D1,D0-5_cm,5,0.61685,2.28846625,1.854902993,-0.048075,-0.052525,-0.042594256,2.235916,1.812308737,-0.025061011,27,29,0.210503212,1.621088588,0.439798751,-23.57976838,35.80694832,0.034794675,2.925152723,2.42817122,14.74646764,4.39798751,3.564763681,0.34794675,0.282026253,282.0262528,520.343963,-11.94296252,508.4010004,7497.118901
S12,NMIN_DRYALL_t2mt0_FC_D2,24,3.17805383,C2,10-24 yr,DRYALL,DRY15,t2mt0,FC,wet,S12_D2,D2,S12_DRY15_D2,D5-15_cm,10,0.2781,1.0343175,1.733506866,-0.05325,-0.0581,-0.097397159,0.9762045,1.636109708,-0.051396046,27.5,29,0.461940149,1.675990678,0.313443899,-21.8850477,21.88622022,0.024423316,4.442565283,1.461735487,14.97276382,3.13443899,5.253290528,0.24423316,0.409332499,409.3324994,329.9848883,-18.5360124,311.4488759,4663.250461
S12,NMIN_DRYALL_t2mt0_FC_DSUM,24,3.17805383,C2,10-24 yr,DRYALL,DRY15,t2mt0,FC,wet,S12_DSUM,DSUM,S12_DRY15_DSUM,D0-15_cm,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.818054209,NA,0.691358752,691.3587522,NA,NA,NA,NA
S12,NMIN_DRYALL_t2mt0_FM_D1,24,3.17805383,C2,10-24 yr,DRYALL,DRY15,t2mt0,FM,dry,S12_D1,D1,S12_DRY15_D1,D0-5_cm,5,0.1031,0.371649375,0.301238343,-0.002975,-0.0035375,-0.002881858,0.36809375,0.298356484,-0.005289618,27,29,0.210503212,1.621088588,0.439798751,-23.57976838,35.80694832,0.034794675,2.925152723,2.42817122,14.74646764,4.39798751,3.564763681,0.34794675,0.282026253,282.0262528,84.50441802,-0.804345167,83.70007285,1234.280416
S12,NMIN_DRYALL_t2mt0_FM_D2,24,3.17805383,C2,10-24 yr,DRYALL,DRY15,t2mt0,FM,dry,S12_D2,D2,S12_DRY15_D2,D5-15_cm,10,0.0181,0.062199,0.104245439,-0.00125,-0.00165,-0.002774552,0.0605435,0.101470888,-0.003709443,27.5,29,0.461940149,1.675990678,0.313443899,-21.8850477,21.88622022,0.024423316,4.442565283,1.461735487,14.97276382,3.13443899,5.253290528,0.24423316,0.409332499,409.3324994,19.84374244,-0.526409991,19.31733245,289.2338563
S12,NMIN_DRYALL_t2mt0_FM_DSUM,24,3.17805383,C2,10-24 yr,DRYALL,DRY15,t2mt0,FM,dry,S12_DSUM,DSUM,S12_DRY15_DSUM,D0-15_cm,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.818054209,NA,0.691358752,691.3587522,NA,NA,NA,NA
S12,NMIN_WETALL_t2mt0_FC_D1,24,3.17805383,C2,10-24 yr,WETALL,WET15,t2mt0,FC,wet,S12_D1,D1,S12_WET15_D1,D0-5_cm,5,0.4315,1.62122425,1.314073896,0,0,0,1.62122425,1.314073896,0,27,31,0.450154052,1.621088588,0.439798751,-23.57976838,35.80694832,0.034794675,2.925152723,2.42817122,14.74646764,4.39798751,3.564763681,0.34794675,0.282026253,282.0262528,368.6286617,0,368.6286617,5435.970631
S12,NMIN_WETALL_t2mt0_FC_D2,24,3.17805383,C2,10-24 yr,WETALL,WET15,t2mt0,FC,wet,S12_D2,D2,S12_WET15_D2,D5-15_cm,10,-0.02525,-0.0948685,-0.158999302,0.00855,0.00935,0.01566364,-0.085523,-0.143335661,NA,27,31,1.005025126,1.675990678,0.313443899,-21.8850477,21.88622022,0.024423316,4.442565283,1.461735487,14.97276382,3.13443899,5.253290528,0.24423316,0.409332499,409.3324994,-30.26650074,2.982989948,-27.28351079,-408.5095632
S12,NMIN_WETALL_t2mt0_FC_DSUM,24,3.17805383,C2,10-24 yr,WETALL,WET15,t2mt0,FC,wet,S12_DSUM,DSUM,S12_WET15_DSUM,D0-15_cm,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.818054209,NA,0.691358752,691.3587522,NA,NA,NA,NA
S12,NMIN_WETALL_t2mt0_FM_D1,24,3.17805383,C2,10-24 yr,WETALL,WET15,t2mt0,FM,dry,S12_D1,D1,S12_WET15_D1,D0-5_cm,5,0.072,0.27051725,0.219266096,0,0,0,0.27051725,0.219266096,0,27,31,0.450154052,1.621088588,0.439798751,-23.57976838,35.80694832,0.034794675,2.925152723,2.42817122,14.74646764,4.39798751,3.564763681,0.34794675,0.282026253,282.0262528,61.50932657,0,61.50932657,907.0452938
S12,NMIN_WETALL_t2mt0_FM_D2,24,3.17805383,C2,10-24 yr,WETALL,WET15,t2mt0,FM,dry,S12_D2,D2,S12_WET15_D2,D5-15_cm,10,0.36925,1.3873395,2.325168002,0,0,0,1.3873395,2.325168002,NA,27,31,1.005025126,1.675990678,0.313443899,-21.8850477,21.88622022,0.024423316,4.442565283,1.461735487,14.97276382,3.13443899,5.253290528,0.24423316,0.409332499,409.3324994,442.6117415,0,442.6117415,6627.121069
S12,NMIN_WETALL_t2mt0_FM_DSUM,24,3.17805383,C2,10-24 yr,WETALL,WET15,t2mt0,FM,dry,S12_DSUM,DSUM,S12_WET15_DSUM,D0-15_cm,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.818054209,NA,0.691358752,691.3587522,NA,NA,NA,NA
S18,NMIN_DRYALL_t0_X_D1,16,2.772588722,C2,10-24 yr,DRYALL,DRY15,t0,X,initial,S18_D1,D1,S18_DRY15_D1,D0-5_cm,5,0.4983,1.8722035,1.51264123,0.00445,0.00486,0.003930048,1.877068,1.516571277,0.002609685,31,32.5,0.170284502,1.615893771,0.398740807,-22.43408806,27.1967984,0.028482573,2.39158038,1.665064172,16.33278761,3.98740807,3.221613931,0.28482573,0.230124061,230.1240615,469.5289439,1.218836877,470.7477808,7688.623521
S18,NMIN_DRYALL_t0_X_D2,16,2.772588722,C2,10-24 yr,DRYALL,DRY15,t0,X,initial,S18_D2,D2,S18_DRY15_D2,D5-15_cm,10,0.2588,0.9723585,1.525272127,0.038275,0.041825,0.065628279,1.0141965,1.590900405,0.043101307,28,32.5,0.462125779,1.568631119,0.320997695,-22.83093792,23.48098135,0.022140849,4.285156345,1.388231248,16.91431552,3.20997695,5.035269735,0.22140849,0.347308247,347.3082474,302.9175957,13.02968858,315.9472843,5344.032054
