SAMPLE,SITE,AGE,CLASS,LABEL,TREE,SITE.TREE,CLASS.TREE,SITE.TREE.N,WT_MG,d13C,d15N,Cumol,Numol,CN,PCT_C,PCT_N,PctMoist,SLAgm2,SLAkgm2,SLAkgha,CMASStree_gm2,NMASStree_gm2,CMASStree_kgha,NMASStree_kgha
S10.MZ.2.2,S10,4,C01,3-4,MZ,S10.MZ,C01.MZ,S10.MZ.2,3.13,-28.31484005,6.836223498,123.484244,4.837999024,25.52382572,47.34220215,2.163961225,45.45454545,143.2394488,0.143239449,1432.394488,67.81270942,3.099646131,678.1270942,30.99646131
S12.MN.1.1,S12,24,C02,10-24,MN,S12.MN,C02.MN,S12.MN.1,3.01,-27.39012445,-1.222226326,118.5141115,6.37598536,18.58757585,47.24815076,2.965574586,44.44444444,95.49296586,0.095492966,954.9296586,45.11866048,2.831915127,451.1866048,28.31915127
S12.MN.1.2,S12,24,C02,10-24,MN,S12.MN,C02.MN,S12.MN.1,3.16,-26.94732069,-0.942859315,122.3563015,6.504963573,18.80968281,46.46441829,2.881945887,40,95.49296586,0.095492966,954.9296586,44.37025109,2.752055602,443.7025109,27.52055602
S12.MN.2.1,S12,24,C02,10-24,MN,S12.MN,C02.MN,S12.MN.2,3.64,-28.5500863,-1.009126351,146.4802624,7.36272396,19.89484642,48.29019641,2.831816908,55.55555556,76.39437268,0.076394373,763.9437268,36.89099261,2.163348762,368.9099261,21.63348762
S12.MN.2.2,S12,24,C02,10-24,MN,S12.MN,C02.MN,S12.MN.2,3.51,-28.47826928,-1.057289522,137.8605377,6.698277231,20.58149177,47.13180776,2.671677528,51.85185185,82.76057041,0.08276057,827.6057041,39.00655295,2.211095562,390.0655295,22.11095562
S12.MT.1.1,S12,24,C02,10-24,MT,S12.MT,C02.MT,S12.MT.1,3.22,-25.18824507,1.81589271,127.7581275,5.18986625,24.61684393,47.61172453,2.256463587,28.57142857,97.44180189,0.097441802,974.4180189,46.39372229,2.198738778,463.9372229,21.98738778
S12.MT.1.2,S12,24,C02,10-24,MT,S12.MT,C02.MT,S12.MT.1,2.77,-24.64844063,1.892577109,116.9810288,5.038411638,23.21783873,50.67770202,2.546489636,32,110.4340421,0.110434042,1104.340421,55.96543479,2.812191437,559.6543479,28.12191437
S12.MT.2.1,S12,24,C02,10-24,MT,S12.MT,C02.MT,S12.MT.2,3.155,-25.46686944,2.455635805,128.9343574,4.691718593,27.47730664,49.02944922,2.081740906,41.66666667,90.94568177,0.090945682,909.4568177,44.59016686,1.89325346,445.9016686,18.9325346
S12.MT.2.2,S12,24,C02,10-24,MT,S12.MT,C02.MT,S12.MT.2,4.11,-25.49077663,1.800783037,163.9164234,6.031642793,27.17608271,47.85880976,2.054574188,37.5,97.44180189,0.097441802,974.4180189,46.63448659,2.002014109,466.3448659,20.02014109
S12.MZ.1.1,S12,24,C02,10-24,MZ,S12.MZ,C02.MZ,S12.MZ.1,3.56,-25.74504917,0.640584322,137.8605377,4.105600359,33.57865492,46.46984417,1.614561939,42.42424242,151.1971959,0.151197196,1511.971959,70.26110133,2.441172378,702.6110133,24.41172378
S12.MZ.1.2,S12,24,C02,10-24,MZ,S12.MZ,C02.MZ,S12.MZ.1,3.02,-26.19439605,0.866013169,115.4501138,3.561333203,32.41766699,45.8742174,1.650949167,46.875,135.2817016,0.135281702,1352.817016,62.0594219,2.233432125,620.594219,22.33432125
S12.MZ.2.1,S12,24,C02,10-24,MZ,S12.MZ,C02.MZ,S12.MZ.2,3.72,-26.77976996,0.726097293,148.8424765,3.996860753,37.23984539,48.01370208,1.504194907,37.5,159.1549431,0.159154943,1591.549431,76.41618023,2.394000548,764.1618023,23.94000548
S12.MZ.2.2,S12,24,C02,10-24,MZ,S12.MZ,C02.MZ,S12.MZ.2,3.42,-26.57778909,1.025686448,133.1865068,3.495925531,38.09763842,46.73210766,1.431080627,42.10526316,175.0704374,0.175070437,1750.704374,81.81410529,2.505399113,818.1410529,25.05399113
S15.MN.1.1,S15,100,VIL,MATURE,MN,S15.MN,VIL.MN,S15.MN.1,3.35,-26.34013171,-1.21338708,133.9737868,7.293735452,18.36833646,47.99061021,3.048128249,51.72413793,89.12676813,0.089126768,891.2676813,42.77247989,2.716698196,427.7247989,27.16698196
S15.MN.1.2,S15,100,VIL,MATURE,MN,S15.MN,VIL.MN,S15.MN.1,3.53,-26.39275278,-1.479653111,141.0237407,7.418502706,19.00973097,47.94008181,2.942182376,55.17241379,82.76057041,0.08276057,827.6057041,39.67548516,2.434966917,396.7548516,24.34966917
